intended_target,condition,target_item,targetType,comp_item,compType,contrast_item,distractor_item,UtteranceCat,target_typ,comp_typ
target,ttp,green_broccoli,broccoli,green_lettuce,lettuce,red_broccoli,yellow_strawberry,colorType,typical,typical
target,atn,green_swan,swan,green_broccoli,broccoli,yellow_strawberry,orange_banana,colorType,atypical,typical
target,aan,white_tomato,tomato,white_pumpkin,pumpkin,red_broccoli,green_lettuce,colorType,atypical,atypical
target,atn,orange_banana,banana,orange_pumpkin,pumpkin,white_tomato,red_broccoli,colorType,atypical,typical
competitor,atp,white_tomato,tomato,white_swan,swan,red_tomato,yellow_egg,typeOnly,atypical,typical
competitor,tap,yellow_banana,banana,yellow_strawberry,strawberry,orange_banana,green_carrot,colorType,typical,atypical
target,atp,orange_lettuce,lettuce,orange_carrot,carrot,green_lettuce,yellow_egg,colorType,atypical,typical
competitor,ttp,red_tomato,tomato,red_strawberry,strawberry,white_tomato,orange_carrot,typeOnly,typical,typical
target,atn,red_corn,corn,red_tomato,tomato,white_egg,yellow_banana,colorType,atypical,typical
target,tan,yellow_corn,corn,yellow_egg,egg,orange_banana,white_tomato,typeOnly,typical,atypical
competitor,aap,red_corn,corn,red_broccoli,broccoli,yellow_corn,green_carrot,typeOnly,atypical,atypical
competitor,tap,green_broccoli,broccoli,green_swan,swan,red_broccoli,orange_banana,typeOnly,typical,atypical
target,aan,white_tomato,tomato,white_pumpkin,pumpkin,yellow_egg,orange_carrot,typeOnly,atypical,atypical
target,atn,red_broccoli,broccoli,red_tomato,tomato,white_pumpkin,orange_carrot,typeOnly,atypical,typical
target,tan,orange_pumpkin,pumpkin,orange_banana,banana,green_swan,red_broccoli,typeOnly,typical,atypical
target,tan,orange_carrot,carrot,orange_lettuce,lettuce,red_broccoli,yellow_strawberry,typeOnly,typical,atypical
target,aan,yellow_strawberry,strawberry,yellow_egg,egg,red_broccoli,orange_banana,typeOnly,atypical,atypical
competitor,aap,yellow_egg,egg,yellow_strawberry,strawberry,white_egg,orange_carrot,typeOnly,atypical,atypical
target,ttn,red_tomato,tomato,red_strawberry,strawberry,yellow_corn,green_swan,typeOnly,typical,typical
competitor,atp,red_corn,corn,red_tomato,tomato,yellow_corn,white_egg,typeOnly,atypical,typical
target,atp,white_pumpkin,pumpkin,white_swan,swan,orange_pumpkin,yellow_corn,colorType,atypical,typical
target,atn,green_carrot,carrot,green_broccoli,broccoli,orange_pumpkin,white_swan,typeOnly,atypical,typical
target,ttn,white_egg,egg,white_swan,swan,orange_pumpkin,red_tomato,typeOnly,typical,typical
target,atp,yellow_strawberry,strawberry,yellow_corn,corn,red_strawberry,white_egg,colorType,atypical,typical
competitor,ttp,red_strawberry,strawberry,red_tomato,tomato,yellow_strawberry,orange_banana,typeOnly,typical,typical
target,tan,green_lettuce,lettuce,green_carrot,carrot,white_tomato,yellow_banana,typeOnly,typical,atypical
target,ttn,white_swan,swan,white_egg,egg,red_strawberry,green_broccoli,typeOnly,typical,typical
competitor,atp,green_carrot,carrot,green_broccoli,broccoli,orange_carrot,red_tomato,typeOnly,atypical,typical
target,ttn,orange_carrot,carrot,orange_pumpkin,pumpkin,red_strawberry,white_tomato,typeOnly,typical,typical
target,aan,red_broccoli,broccoli,red_corn,corn,green_lettuce,yellow_strawberry,typeOnly,atypical,atypical
target,aap,red_broccoli,broccoli,red_corn,corn,green_broccoli,yellow_banana,colorType,atypical,atypical
target,aan,white_pumpkin,pumpkin,white_tomato,tomato,yellow_egg,red_corn,typeOnly,atypical,atypical
target,tap,yellow_banana,banana,yellow_strawberry,strawberry,orange_banana,white_egg,colorType,typical,atypical
target,tap,white_swan,swan,white_tomato,tomato,green_swan,red_broccoli,colorType,typical,atypical
competitor,tap,orange_pumpkin,pumpkin,orange_banana,banana,white_pumpkin,green_broccoli,typeOnly,typical,atypical
target,atn,white_tomato,tomato,white_swan,swan,orange_pumpkin,green_broccoli,typeOnly,atypical,typical
target,ttp,yellow_banana,banana,yellow_corn,corn,orange_banana,white_egg,colorType,typical,typical
target,tan,red_strawberry,strawberry,red_corn,corn,white_egg,green_carrot,typeOnly,typical,atypical
competitor,ttp,orange_pumpkin,pumpkin,orange_carrot,carrot,white_pumpkin,red_broccoli,typeOnly,typical,typical
target,atn,orange_banana,banana,orange_carrot,carrot,yellow_egg,white_pumpkin,typeOnly,atypical,typical
competitor,atp,red_broccoli,broccoli,red_strawberry,strawberry,green_broccoli,yellow_banana,colorType,atypical,typical
target,ttp,green_broccoli,broccoli,green_lettuce,lettuce,red_broccoli,white_pumpkin,colorType,typical,typical
target,aap,red_corn,corn,red_broccoli,broccoli,yellow_corn,green_swan,colorType,atypical,atypical
target,ttn,orange_pumpkin,pumpkin,orange_carrot,carrot,green_lettuce,white_egg,typeOnly,typical,typical
target,tan,red_tomato,tomato,red_broccoli,broccoli,orange_pumpkin,green_swan,typeOnly,typical,atypical
target,tap,orange_pumpkin,pumpkin,orange_banana,banana,white_pumpkin,red_strawberry,colorType,typical,atypical
competitor,tap,green_broccoli,broccoli,green_carrot,carrot,red_broccoli,yellow_egg,typeOnly,typical,atypical
target,ttp,red_tomato,tomato,red_strawberry,strawberry,white_tomato,yellow_banana,colorType,typical,typical
target,tan,red_strawberry,strawberry,red_broccoli,broccoli,white_egg,yellow_corn,typeOnly,typical,atypical
target,atn,yellow_egg,egg,yellow_corn,corn,red_strawberry,green_lettuce,typeOnly,atypical,typical
target,atn,green_carrot,carrot,green_lettuce,lettuce,yellow_strawberry,orange_pumpkin,typeOnly,atypical,typical
target,aan,green_carrot,carrot,green_swan,swan,white_tomato,orange_lettuce,typeOnly,atypical,atypical
competitor,atp,green_carrot,carrot,green_broccoli,broccoli,orange_carrot,white_tomato,typeOnly,atypical,typical
target,aan,orange_banana,banana,orange_lettuce,lettuce,red_strawberry,green_broccoli,typeOnly,atypical,atypical
target,atn,white_pumpkin,pumpkin,white_swan,swan,yellow_egg,green_carrot,typeOnly,atypical,typical
target,ttn,green_lettuce,lettuce,green_broccoli,broccoli,yellow_egg,white_swan,typeOnly,typical,typical
target,tan,orange_pumpkin,pumpkin,orange_banana,banana,white_swan,yellow_corn,typeOnly,typical,atypical
target,atn,orange_lettuce,lettuce,orange_pumpkin,pumpkin,green_broccoli,white_swan,typeOnly,atypical,typical
target,atp,red_broccoli,broccoli,red_tomato,tomato,green_broccoli,white_swan,colorType,atypical,typical
competitor,ttp,red_strawberry,strawberry,red_tomato,tomato,yellow_strawberry,orange_banana,typeOnly,typical,typical
target,atp,white_pumpkin,pumpkin,white_egg,egg,orange_pumpkin,green_lettuce,colorType,atypical,typical
competitor,ttp,white_swan,swan,white_egg,egg,green_swan,orange_banana,typeOnly,typical,typical
target,aan,yellow_egg,egg,yellow_strawberry,strawberry,red_corn,orange_banana,typeOnly,atypical,atypical
target,aan,orange_lettuce,lettuce,orange_banana,banana,white_swan,yellow_egg,typeOnly,atypical,atypical
target,tap,orange_pumpkin,pumpkin,orange_lettuce,lettuce,white_pumpkin,red_corn,colorType,typical,atypical
competitor,tap,orange_carrot,carrot,orange_banana,banana,green_carrot,red_tomato,typeOnly,typical,atypical
target,ttn,orange_carrot,carrot,orange_pumpkin,pumpkin,white_tomato,red_strawberry,typeOnly,typical,typical
target,aap,orange_lettuce,lettuce,orange_banana,banana,green_lettuce,white_pumpkin,colorType,atypical,atypical
competitor,aap,orange_banana,banana,orange_lettuce,lettuce,yellow_banana,white_tomato,typeOnly,atypical,atypical
target,tan,yellow_banana,banana,yellow_egg,egg,red_broccoli,white_swan,typeOnly,typical,atypical
target,ttn,white_egg,egg,white_swan,swan,yellow_corn,orange_lettuce,typeOnly,typical,typical
target,ttn,white_egg,egg,white_swan,swan,orange_carrot,yellow_corn,typeOnly,typical,typical
target,tan,white_egg,egg,white_tomato,tomato,yellow_corn,red_broccoli,typeOnly,typical,atypical
target,aan,green_swan,swan,green_carrot,carrot,red_strawberry,orange_pumpkin,typeOnly,atypical,atypical
competitor,ttp,red_strawberry,strawberry,red_tomato,tomato,yellow_strawberry,white_swan,typeOnly,typical,typical
target,aan,red_broccoli,broccoli,red_corn,corn,yellow_egg,white_swan,typeOnly,atypical,atypical
target,atn,yellow_strawberry,strawberry,yellow_corn,corn,green_swan,red_tomato,typeOnly,atypical,typical
competitor,ttp,green_broccoli,broccoli,green_lettuce,lettuce,red_broccoli,yellow_egg,typeOnly,typical,typical
target,tap,red_tomato,tomato,red_broccoli,broccoli,white_tomato,orange_banana,colorType,typical,atypical
target,ttn,yellow_banana,banana,yellow_corn,corn,orange_pumpkin,red_broccoli,typeOnly,typical,typical
target,ttn,red_tomato,tomato,red_strawberry,strawberry,green_broccoli,yellow_banana,typeOnly,typical,typical
target,ttp,white_egg,egg,white_swan,swan,yellow_egg,green_carrot,typeOnly,typical,typical
target,ttp,orange_carrot,carrot,orange_pumpkin,pumpkin,green_carrot,white_swan,colorType,typical,typical
competitor,atp,white_pumpkin,pumpkin,white_egg,egg,orange_pumpkin,red_tomato,typeOnly,atypical,typical
target,tan,orange_pumpkin,pumpkin,orange_banana,banana,green_broccoli,white_swan,typeOnly,typical,atypical
target,tan,yellow_banana,banana,yellow_strawberry,strawberry,red_broccoli,white_tomato,typeOnly,typical,atypical
target,tan,red_tomato,tomato,red_broccoli,broccoli,green_lettuce,orange_banana,typeOnly,typical,atypical
target,aap,red_corn,corn,red_broccoli,broccoli,yellow_corn,green_swan,colorType,atypical,atypical
target,aan,yellow_strawberry,strawberry,yellow_egg,egg,orange_carrot,green_swan,typeOnly,atypical,atypical
target,atp,yellow_egg,egg,yellow_corn,corn,white_egg,orange_banana,colorType,atypical,typical
competitor,tap,yellow_corn,corn,yellow_strawberry,strawberry,red_corn,orange_carrot,typeOnly,typical,atypical
competitor,atp,orange_lettuce,lettuce,orange_pumpkin,pumpkin,green_lettuce,red_strawberry,typeOnly,atypical,typical
target,atn,yellow_egg,egg,yellow_corn,corn,red_tomato,white_swan,typeOnly,atypical,typical
target,aan,yellow_egg,egg,yellow_strawberry,strawberry,orange_lettuce,green_broccoli,typeOnly,atypical,atypical
target,atp,white_tomato,tomato,white_swan,swan,red_tomato,yellow_banana,colorType,atypical,typical
target,tap,white_swan,swan,white_tomato,tomato,green_swan,orange_pumpkin,colorType,typical,atypical
target,ttn,white_swan,swan,white_egg,egg,green_lettuce,orange_carrot,typeOnly,typical,typical
competitor,aap,white_tomato,tomato,white_pumpkin,pumpkin,red_tomato,yellow_egg,typeOnly,atypical,atypical
